transaction_id,customer_id,timestamp,amount,currency,transaction_type,merchant_category,country,is_fraudulent
TXN_00001,CUST_00001,2026-01-15 10:23:15,125.50,USD,Online,Retail,US,False
TXN_00002,CUST_00002,2026-01-15 11:45:32,89.99,USD,POS,Grocery,US,False
TXN_00003,CUST_00003,2026-01-15 12:15:47,450.00,USD,Transfer,Healthcare,US,False
TXN_00004,CUST_00004,2026-01-15 13:22:18,2150.75,USD,Online,Electronics,GB,False
TXN_00005,CUST_00005,2026-01-15 14:50:09,45.00,USD,POS,Coffee,US,False
TXN_00006,CUST_00001,2026-01-15 15:11:33,892.45,USD,Online,Retail,US,False
TXN_00007,CUST_00006,2026-01-15 16:33:22,156.80,USD,POS,Restaurant,US,False
TXN_00008,CUST_00007,2026-01-15 17:44:55,12500.00,USD,Transfer,Real Estate,US,True
TXN_00009,CUST_00008,2026-01-15 18:15:42,78.50,USD,Online,Streaming,US,False
TXN_00010,CUST_00009,2026-01-15 19:22:11,2340.90,EUR,Online,Travel,FR,False
TXN_00011,CUST_00010,2026-01-16 08:01:23,456.70,USD,Transfer,Education,US,False
TXN_00012,CUST_00011,2026-01-16 09:12:44,234.00,USD,POS,Retail,US,False
TXN_00013,CUST_00012,2026-01-16 10:33:15,95.60,USD,Online,Food,US,False
TXN_00014,CUST_00013,2026-01-16 11:55:42,5678.30,USD,Transfer,Utilities,US,False
TXN_00015,CUST_00001,2026-01-16 12:44:18,145.50,USD,POS,Pharmacy,US,False
TXN_00016,CUST_00014,2026-01-16 13:22:33,890.00,USD,Online,Shopping,GB,False
TXN_00017,CUST_00015,2026-01-16 14:15:27,12.99,USD,POS,Coffee,US,False
TXN_00018,CUST_00016,2026-01-16 15:33:44,4500.00,USD,Transfer,Real Estate,US,False
TXN_00019,CUST_00017,2026-01-16 16:22:11,234.56,USD,Online,Retail,US,False
TXN_00020,CUST_00018,2026-01-16 17:11:05,567.89,USD,POS,Gas Station,US,False
TXN_00021,CUST_00019,2026-01-16 18:33:22,890.12,USD,Online,Electronics,US,False
TXN_00022,CUST_00020,2026-01-16 19:44:55,345.67,EUR,Transfer,Travel,DE,False
TXN_00023,CUST_00002,2026-01-17 08:15:33,123.45,USD,POS,Grocery,US,False
TXN_00024,CUST_00021,2026-01-17 09:22:14,2345.78,USD,Online,Office,US,False
TXN_00025,CUST_00022,2026-01-17 10:11:44,456.23,USD,Transfer,Utilities,US,False
TXN_00026,CUST_00023,2026-01-17 11:33:27,78.90,USD,POS,Restaurant,US,False
TXN_00027,CUST_00024,2026-01-17 12:44:18,1200.00,GBP,Online,Entertainment,GB,False
TXN_00028,CUST_00025,2026-01-17 13:55:42,567.34,USD,Transfer,Healthcare,US,False
TXN_00029,CUST_00026,2026-01-17 14:22:11,234.56,USD,POS,Retail,US,False
TXN_00030,CUST_00027,2026-01-17 15:33:05,3456.78,USD,Online,Education,US,False
TXN_00031,CUST_00028,2026-01-17 16:44:32,89.01,USD,POS,Coffee,US,False
TXN_00032,CUST_00029,2026-01-17 17:15:44,12345.67,USD,Transfer,Business,US,True
TXN_00033,CUST_00030,2026-01-17 18:22:55,445.67,USD,Online,Shopping,US,False
TXN_00034,CUST_00031,2026-01-17 19:33:14,567.89,EUR,Transfer,Travel,IT,False
TXN_00035,CUST_00001,2026-01-18 08:11:22,234.50,USD,POS,Pharmacy,US,False
TXN_00036,CUST_00032,2026-01-18 09:33:45,890.23,USD,Online,Retail,US,False
TXN_00037,CUST_00033,2026-01-18 10:44:12,156.78,USD,Transfer,Entertainment,US,False
TXN_00038,CUST_00034,2026-01-18 11:55:33,2345.90,USD,Online,Electronics,US,False
TXN_00039,CUST_00035,2026-01-18 12:22:44,45.60,USD,POS,Coffee,US,False
TXN_00040,CUST_00036,2026-01-18 13:33:15,3456.78,USD,Transfer,Healthcare,US,False
TXN_00041,CUST_00037,2026-01-18 14:44:22,567.89,USD,Online,Shopping,US,False
TXN_00042,CUST_00038,2026-01-18 15:15:33,234.12,USD,POS,Restaurant,US,False
TXN_00043,CUST_00039,2026-01-18 16:22:44,890.34,USD,Transfer,Utilities,US,False
TXN_00044,CUST_00040,2026-01-18 17:33:05,1234.56,GBP,Online,Travel,GB,False
TXN_00045,CUST_00041,2026-01-18 18:44:22,456.78,USD,POS,Retail,US,False
TXN_00046,CUST_00042,2026-01-18 19:15:33,2345.67,USD,Online,Office,US,False
TXN_00047,CUST_00043,2026-01-19 08:22:44,345.89,EUR,Transfer,Business,FR,False
TXN_00048,CUST_00044,2026-01-19 09:33:15,789.01,USD,POS,Grocery,US,False
TXN_00049,CUST_00045,2026-01-19 10:44:22,1500.00,USD,Online,Education,US,False
TXN_00050,CUST_00046,2026-01-19 11:55:33,234.56,USD,Transfer,Entertainment,US,False
TXN_00051,CUST_00002,2026-01-19 12:22:44,567.89,USD,POS,Coffee,US,False
TXN_00052,CUST_00047,2026-01-19 13:33:15,2300.00,USD,Online,Electronics,US,False
TXN_00053,CUST_00048,2026-01-19 14:44:22,890.12,USD,Transfer,Healthcare,US,False
TXN_00054,CUST_00049,2026-01-19 15:15:33,345.67,USD,POS,Restaurant,US,False
TXN_00055,CUST_00050,2026-01-19 16:22:44,4567.89,USD,Online,Real Estate,US,False
TXN_00056,CUST_00051,2026-01-19 17:33:05,123.45,EUR,Transfer,Retail,DE,False
TXN_00057,CUST_00052,2026-01-19 18:44:22,234.56,USD,POS,Pharmacy,US,False
TXN_00058,CUST_00053,2026-01-19 19:15:33,3456.78,USD,Online,Shopping,US,False
TXN_00059,CUST_00054,2026-01-20 08:22:44,567.89,USD,Transfer,Utilities,US,False
TXN_00060,CUST_00055,2026-01-20 09:33:15,890.23,USD,POS,Gas Station,US,False
TXN_00061,CUST_00056,2026-01-20 10:44:22,2345.67,USD,Online,Travel,US,False
TXN_00062,CUST_00057,2026-01-20 11:55:33,456.78,USD,Transfer,Entertainment,US,False
TXN_00063,CUST_00058,2026-01-20 12:22:44,234.12,USD,POS,Coffee,US,False
TXN_00064,CUST_00001,2026-01-20 13:33:15,1234.56,USD,Online,Office,US,False
